"Date","CUST","SKU","SALES","Forecast_Type"
2014-06-20,"7577","12GL",4,"ACTUAL"
2014-06-21,"7577","12GL",0,"ACTUAL"
2014-06-22,"7577","12GL",4,"ACTUAL"
2014-06-23,"7577","12GL",0,"ACTUAL"
2014-06-24,"7577","12GL",7,"ACTUAL"
2014-06-25,"7577","12GL",0,"ACTUAL"
2014-06-26,"7577","12GL",5,"ACTUAL"
2014-06-27,"7577","12GL",0,"ACTUAL"
2014-06-28,"7577","12GL",4,"ACTUAL"
2014-06-29,"7577","12GL",0,"ACTUAL"
2014-06-30,"7577","12GL",9,"ACTUAL"
2014-07-01,"7577","12GL",0,"ACTUAL"
2014-07-02,"7577","12GL",0,"ACTUAL"
2014-07-03,"7577","12GL",0,"ACTUAL"
2014-07-04,"7577","12GL",6,"ACTUAL"
2014-07-05,"7577","12GL",5,"ACTUAL"
2014-07-06,"7577","12GL",0,"ACTUAL"
2014-07-07,"7577","12GL",0,"ACTUAL"
2014-07-08,"7577","12GL",3,"ACTUAL"
2014-07-09,"7577","12GL",0,"ACTUAL"
2014-07-10,"7577","12GL",0,"ACTUAL"
2014-07-11,"7577","12GL",5,"ACTUAL"
2014-07-12,"7577","12GL",8,"ACTUAL"
2014-07-13,"7577","12GL",0,"ACTUAL"
2014-07-14,"7577","12GL",7,"ACTUAL"
2014-07-15,"7577","12GL",0,"ACTUAL"
2014-07-16,"7577","12GL",3,"ACTUAL"
2014-07-17,"7577","12GL",0,"ACTUAL"
2014-07-18,"7577","12GL",5,"ACTUAL"
2014-07-19,"7577","12GL",0,"ACTUAL"
2014-07-20,"7577","12GL",7,"ACTUAL"
2014-07-21,"7577","12GL",0,"ACTUAL"
2014-07-22,"7577","12GL",7,"ACTUAL"
2014-07-23,"7577","12GL",0,"ACTUAL"
2014-07-24,"7577","12GL",1,"ACTUAL"
2014-07-25,"7577","12GL",0,"ACTUAL"
2014-07-26,"7577","12GL",6,"ACTUAL"
2014-07-27,"7577","12GL",0,"ACTUAL"
2014-07-28,"7577","12GL",4,"ACTUAL"
2014-07-29,"7577","12GL",0,"ACTUAL"
2014-07-30,"7577","12GL",6,"ACTUAL"
2014-07-31,"7577","12GL",0,"ACTUAL"
2014-08-01,"7577","12GL",7,"ACTUAL"
2014-08-02,"7577","12GL",6,"ACTUAL"
2014-08-03,"7577","12GL",3,"ACTUAL"
2014-08-04,"7577","12GL",0,"ACTUAL"
2014-08-05,"7577","12GL",0,"ACTUAL"
2014-08-06,"7577","12GL",3,"ACTUAL"
2014-08-07,"7577","12GL",6,"ACTUAL"
2014-08-08,"7577","12GL",0,"ACTUAL"
2014-08-09,"7577","12GL",7,"ACTUAL"
2014-08-10,"7577","12GL",8,"ACTUAL"
2014-08-11,"7577","12GL",0,"ACTUAL"
2014-08-12,"7577","12GL",0,"ACTUAL"
2014-08-13,"7577","12GL",8,"ACTUAL"
2014-08-14,"7577","12GL",0,"ACTUAL"
2014-08-15,"7577","12GL",0,"ACTUAL"
2014-08-16,"7577","12GL",0,"ACTUAL"
2014-08-17,"7577","12GL",5,"ACTUAL"
2014-08-18,"7577","12GL",0,"ACTUAL"
2014-08-19,"7577","12GL",6,"ACTUAL"
2014-08-20,"7577","12GL",0,"ACTUAL"
2014-08-21,"7577","12GL",4,"ACTUAL"
2014-08-22,"7577","12GL",0,"ACTUAL"
2014-08-23,"7577","12GL",5,"ACTUAL"
2014-08-24,"7577","12GL",0,"ACTUAL"
2014-08-25,"7577","12GL",6,"ACTUAL"
2014-08-26,"7577","12GL",0,"ACTUAL"
2014-08-27,"7577","12GL",6,"ACTUAL"
2014-08-28,"7577","12GL",0,"ACTUAL"
2014-08-29,"7577","12GL",4,"ACTUAL"
2014-08-30,"7577","12GL",0,"ACTUAL"
2014-08-31,"7577","12GL",9,"ACTUAL"
2014-09-01,"7577","12GL",0,"ACTUAL"
2014-09-02,"7577","12GL",0,"ACTUAL"
2014-09-03,"7577","12GL",0,"ACTUAL"
2014-09-04,"7577","12GL",3,"ACTUAL"
2014-09-05,"7577","12GL",8,"ACTUAL"
2014-09-06,"7577","12GL",0,"ACTUAL"
2014-09-07,"7577","12GL",0,"ACTUAL"
2014-09-08,"7577","12GL",6,"ACTUAL"
2014-09-09,"7577","12GL",0,"ACTUAL"
2014-09-10,"7577","12GL",0,"ACTUAL"
2014-09-11,"7577","12GL",7,"ACTUAL"
2014-09-12,"7577","12GL",6,"ACTUAL"
2014-09-13,"7577","12GL",0,"ACTUAL"
2014-09-14,"7577","12GL",10,"ACTUAL"
2014-09-15,"7577","12GL",0,"ACTUAL"
2014-09-16,"7577","12GL",6,"ACTUAL"
2014-09-17,"7577","12GL",0,"ACTUAL"
2014-09-18,"7577","12GL",3,"ACTUAL"
2014-09-19,"7577","12GL",0,"ACTUAL"
2014-09-20,"7577","12GL",6,"ACTUAL"
2014-09-21,"7577","12GL",0,"ACTUAL"
2014-09-22,"7577","12GL",5,"ACTUAL"
2014-09-23,"7577","12GL",0,"ACTUAL"
2014-09-24,"7577","12GL",7,"ACTUAL"
2014-09-25,"7577","12GL",0,"ACTUAL"
2014-09-26,"7577","12GL",4,"ACTUAL"
2014-09-27,"7577","12GL",0,"ACTUAL"
2014-09-28,"7577","12GL",11,"ACTUAL"
2014-09-29,"7577","12GL",0,"ACTUAL"
2014-09-30,"7577","12GL",0,"ACTUAL"
2014-10-01,"7577","12GL",8,"ACTUAL"
2014-10-02,"7577","12GL",10,"ACTUAL"
2014-10-03,"7577","12GL",4,"ACTUAL"
2014-10-04,"7577","12GL",0,"ACTUAL"
2014-10-05,"7577","12GL",0,"ACTUAL"
2014-10-06,"7577","12GL",4,"ACTUAL"
2014-10-07,"7577","12GL",5,"ACTUAL"
2014-10-08,"7577","12GL",0,"ACTUAL"
2014-10-09,"7577","12GL",11,"ACTUAL"
2014-10-10,"7577","12GL",5,"ACTUAL"
2014-10-11,"7577","12GL",0,"ACTUAL"
2014-10-12,"7577","12GL",0,"ACTUAL"
2014-10-13,"7577","12GL",0,"ACTUAL"
2014-10-14,"7577","12GL",4,"ACTUAL"
2014-10-15,"7577","12GL",0,"ACTUAL"
2014-10-16,"7577","12GL",5,"ACTUAL"
2014-10-17,"7577","12GL",0,"ACTUAL"
2014-10-18,"7577","12GL",4,"ACTUAL"
2014-10-19,"7577","12GL",0,"ACTUAL"
2014-10-20,"7577","12GL",3,"ACTUAL"
2014-10-21,"7577","12GL",0,"ACTUAL"
2014-10-22,"7577","12GL",6,"ACTUAL"
2014-10-23,"7577","12GL",0,"ACTUAL"
2014-10-24,"7577","12GL",4,"ACTUAL"
2014-10-25,"7577","12GL",0,"ACTUAL"
2014-10-26,"7577","12GL",6,"ACTUAL"
2014-10-27,"7577","12GL",0,"ACTUAL"
2014-10-28,"7577","12GL",7,"ACTUAL"
2014-10-29,"7577","12GL",0,"ACTUAL"
2014-10-30,"7577","12GL",1,"ACTUAL"
2014-10-31,"7577","12GL",0,"ACTUAL"
2014-11-01,"7577","12GL",0,"ACTUAL"
2014-11-02,"7577","12GL",0,"ACTUAL"
2014-11-03,"7577","12GL",0,"ACTUAL"
2014-11-04,"7577","12GL",4,"ACTUAL"
2014-11-05,"7577","12GL",0,"ACTUAL"
2014-11-06,"7577","12GL",0,"ACTUAL"
2014-11-07,"7577","12GL",0,"ACTUAL"
2014-11-08,"7577","12GL",0,"ACTUAL"
2014-11-09,"7577","12GL",0,"ACTUAL"
2014-11-10,"7577","12GL",0,"ACTUAL"
2014-11-11,"7577","12GL",4,"ACTUAL"
2014-11-12,"7577","12GL",5,"ACTUAL"
2014-11-13,"7577","12GL",5,"ACTUAL"
2014-11-14,"7577","12GL",0,"ACTUAL"
2014-11-15,"7577","12GL",8,"ACTUAL"
2014-11-16,"7577","12GL",0,"ACTUAL"
2014-11-17,"7577","12GL",5,"ACTUAL"
2014-11-18,"7577","12GL",0,"ACTUAL"
2014-11-19,"7577","12GL",5,"ACTUAL"
2014-11-20,"7577","12GL",0,"ACTUAL"
2014-11-21,"7577","12GL",5,"ACTUAL"
2014-11-22,"7577","12GL",0,"ACTUAL"
2014-11-23,"7577","12GL",8,"ACTUAL"
2014-11-24,"7577","12GL",0,"ACTUAL"
2014-11-25,"7577","12GL",3,"ACTUAL"
2014-11-26,"7577","12GL",0,"ACTUAL"
2014-11-27,"7577","12GL",5,"ACTUAL"
2014-11-28,"7577","12GL",0,"ACTUAL"
2014-11-29,"7577","12GL",7,"ACTUAL"
2014-11-30,"7577","12GL",0,"ACTUAL"
2014-12-01,"7577","12GL",7,"ACTUAL"
2014-12-02,"7577","12GL",6,"ACTUAL"
2014-12-03,"7577","12GL",9,"ACTUAL"
2014-12-04,"7577","12GL",0,"ACTUAL"
2014-12-05,"7577","12GL",0,"ACTUAL"
2014-12-06,"7577","12GL",5,"ACTUAL"
2014-12-07,"7577","12GL",4,"ACTUAL"
2014-12-08,"7577","12GL",0,"ACTUAL"
2014-12-09,"7577","12GL",0,"ACTUAL"
2014-12-10,"7577","12GL",7,"ACTUAL"
2014-12-11,"7577","12GL",0,"ACTUAL"
2014-12-12,"7577","12GL",0,"ACTUAL"
2014-12-13,"7577","12GL",6,"ACTUAL"
2014-12-14,"7577","12GL",0,"ACTUAL"
2014-12-15,"7577","12GL",2,"ACTUAL"
2014-12-16,"7577","12GL",0,"ACTUAL"
2014-12-17,"7577","12GL",4,"ACTUAL"
