Date,CUST,SKU,SALES,Forecast_Type
8/20/2014,7577,12GL,0,ACTUAL
8/21/2014,7577,12GL,4,ACTUAL
8/22/2014,7577,12GL,0,ACTUAL
8/23/2014,7577,12GL,5,ACTUAL
8/24/2014,7577,12GL,0,ACTUAL
8/25/2014,7577,12GL,6,ACTUAL
8/26/2014,7577,12GL,0,ACTUAL
8/27/2014,7577,12GL,6,ACTUAL
8/28/2014,7577,12GL,0,ACTUAL
8/29/2014,7577,12GL,4,ACTUAL
8/30/2014,7577,12GL,0,ACTUAL
8/31/2014,7577,12GL,9,ACTUAL
9/1/2014,7577,12GL,0,ACTUAL
9/2/2014,7577,12GL,0,ACTUAL
9/3/2014,7577,12GL,0,ACTUAL
9/4/2014,7577,12GL,3,ACTUAL
9/5/2014,7577,12GL,8,ACTUAL
9/6/2014,7577,12GL,0,ACTUAL
9/7/2014,7577,12GL,0,ACTUAL
9/8/2014,7577,12GL,6,ACTUAL
9/9/2014,7577,12GL,0,ACTUAL
9/10/2014,7577,12GL,0,ACTUAL
9/11/2014,7577,12GL,7,ACTUAL
9/12/2014,7577,12GL,6,ACTUAL
9/13/2014,7577,12GL,0,ACTUAL
9/14/2014,7577,12GL,10,ACTUAL
9/15/2014,7577,12GL,0,ACTUAL
9/16/2014,7577,12GL,6,ACTUAL
9/17/2014,7577,12GL,0,ACTUAL
9/18/2014,7577,12GL,3,ACTUAL
9/19/2014,7577,12GL,0,ACTUAL
9/20/2014,7577,12GL,6,ACTUAL
9/21/2014,7577,12GL,0,ACTUAL
9/22/2014,7577,12GL,5,ACTUAL
9/23/2014,7577,12GL,0,ACTUAL
9/24/2014,7577,12GL,7,ACTUAL
9/25/2014,7577,12GL,0,ACTUAL
9/26/2014,7577,12GL,4,ACTUAL
9/27/2014,7577,12GL,0,ACTUAL
9/28/2014,7577,12GL,11,ACTUAL
9/29/2014,7577,12GL,0,ACTUAL
9/30/2014,7577,12GL,0,ACTUAL
10/1/2014,7577,12GL,8,ACTUAL
10/2/2014,7577,12GL,10,ACTUAL
10/3/2014,7577,12GL,4,ACTUAL
10/4/2014,7577,12GL,0,ACTUAL
10/5/2014,7577,12GL,0,ACTUAL
10/6/2014,7577,12GL,4,ACTUAL
10/7/2014,7577,12GL,5,ACTUAL
10/8/2014,7577,12GL,0,ACTUAL
10/9/2014,7577,12GL,11,ACTUAL
10/10/2014,7577,12GL,5,ACTUAL
10/11/2014,7577,12GL,0,ACTUAL
10/12/2014,7577,12GL,0,ACTUAL
10/13/2014,7577,12GL,0,ACTUAL
10/14/2014,7577,12GL,4,ACTUAL
10/15/2014,7577,12GL,0,ACTUAL
10/16/2014,7577,12GL,5,ACTUAL
10/17/2014,7577,12GL,0,ACTUAL
10/18/2014,7577,12GL,4,ACTUAL
10/19/2014,7577,12GL,0,ACTUAL
10/20/2014,7577,12GL,3,ACTUAL
10/21/2014,7577,12GL,0,ACTUAL
10/22/2014,7577,12GL,6,ACTUAL
10/23/2014,7577,12GL,0,ACTUAL
10/24/2014,7577,12GL,4,ACTUAL
10/25/2014,7577,12GL,0,ACTUAL
10/26/2014,7577,12GL,6,ACTUAL
10/27/2014,7577,12GL,0,ACTUAL
10/28/2014,7577,12GL,7,ACTUAL
10/29/2014,7577,12GL,0,ACTUAL
10/30/2014,7577,12GL,1,ACTUAL
10/31/2014,7577,12GL,0,ACTUAL
11/1/2014,7577,12GL,0,ACTUAL
11/2/2014,7577,12GL,0,ACTUAL
11/3/2014,7577,12GL,0,ACTUAL
11/4/2014,7577,12GL,4,ACTUAL
11/5/2014,7577,12GL,0,ACTUAL
11/6/2014,7577,12GL,0,ACTUAL
11/7/2014,7577,12GL,0,ACTUAL
11/8/2014,7577,12GL,0,ACTUAL
11/9/2014,7577,12GL,0,ACTUAL
11/10/2014,7577,12GL,0,ACTUAL
11/11/2014,7577,12GL,4,ACTUAL
11/12/2014,7577,12GL,5,ACTUAL
11/13/2014,7577,12GL,5,ACTUAL
11/14/2014,7577,12GL,0,ACTUAL
11/15/2014,7577,12GL,8,ACTUAL
11/16/2014,7577,12GL,0,ACTUAL
11/17/2014,7577,12GL,5,ACTUAL
11/18/2014,7577,12GL,0,ACTUAL
11/19/2014,7577,12GL,5,ACTUAL
11/20/2014,7577,12GL,0,ACTUAL
11/21/2014,7577,12GL,5,ACTUAL
11/22/2014,7577,12GL,0,ACTUAL
11/23/2014,7577,12GL,8,ACTUAL
11/24/2014,7577,12GL,0,ACTUAL
11/25/2014,7577,12GL,3,ACTUAL
11/26/2014,7577,12GL,0,ACTUAL
11/27/2014,7577,12GL,5,ACTUAL
11/28/2014,7577,12GL,0,ACTUAL
11/29/2014,7577,12GL,7,ACTUAL
11/30/2014,7577,12GL,0,ACTUAL
12/1/2014,7577,12GL,7,ACTUAL
12/2/2014,7577,12GL,6,ACTUAL
12/3/2014,7577,12GL,9,ACTUAL
12/4/2014,7577,12GL,0,ACTUAL
12/5/2014,7577,12GL,0,ACTUAL
12/6/2014,7577,12GL,5,ACTUAL
